Time_Ma,Lat,Lon,V_mag_cm_yr,V_azimuth_°,V_colat_cm_yr,V_lon_cm_yr,Ang_V_°_Ma
200,-64.0924,149.1077,0,0,0,0,0
199,-64.0924,149.1077,0,0,0,0,0
198,-64.0924,149.1077,0,0,0,0,0
197,-64.0924,149.1077,0,0,0,0,0
196,-64.0924,149.1077,0,0,0,0,0
195,-64.0924,149.1077,0,0,0,0,0
194,-64.0924,149.1077,0,0,0,0,0
193,-64.0924,149.1077,0,0,0,0,0
192,-64.0924,149.1077,0,0,0,0,0
191,-64.0924,149.1077,0,0,0,0,0
190,-64.0924,149.1077,0,0,0,0,0
189,-64.0924,149.1077,0,0,0,0,0
188,-64.0924,149.1077,0,0,0,0,0
187,-64.0924,149.1077,0,0,0,0,0
186,-64.0924,149.1077,0,0,0,0,0
185,-64.0924,149.1077,0,0,0,0,0
184,-64.0924,149.1077,0,0,0,0,0
183,-64.0924,149.1077,0,0,0,0,0
182,-64.0924,149.1077,0,0,0,0,0
181,-64.0924,149.1077,0,0,0,0,0
180,-64.0924,149.1077,0,0,0,0,0
179,-64.0924,149.1077,0,0,0,0,0
178,-64.0924,149.1077,0,0,0,0,0
177,-64.0924,149.1077,0,0,0,0,0
176,-64.0924,149.1077,0,0,0,0,0
175,-64.0924,149.1077,0,0,0,0,0
174,-64.0924,149.1077,0,0,0,0,0
173,-64.0924,149.1077,0,0,0,0,0
172,-64.0924,149.1077,0,0,0,0,0
171,-64.0924,149.1077,0,0,0,0,0
170,-64.0924,149.1077,0,0,0,0,0
169,-64.0924,149.1077,0,0,0,0,0
168,-64.0924,149.1077,0,0,0,0,0
167,-64.0924,149.1077,0,0,0,0,0
166,-64.0924,149.1077,0,0,0,0,0
165,-64.0924,149.1077,0,0,0,0,0
164,-64.0924,149.1077,0,0,0,0,0
163,-64.0924,149.1077,0,0,0,0,0
162,-64.0924,149.1077,0,0,0,0,0
161,-64.0924,149.1077,0,0,0,0,0
160,-64.0924,149.1077,0,0,0,0,0
159,-64.0602,149.0972,0.3621,351.8658,-0.3585,-0.0512,0.0331
158,-64.028,149.0867,0.3621,351.8689,-0.3585,-0.0512,0.0331
157,-63.9958,149.0762,0.3621,351.872,-0.3585,-0.0512,0.0331
156,-63.9636,149.0657,0.3621,351.875,-0.3585,-0.0512,0.0331
155,-63.9313,149.0552,0.3621,351.8781,-0.3585,-0.0512,0.0331
154,-63.8991,149.0448,0.3621,351.8811,-0.3585,-0.0511,0.0331
153,-63.8669,149.0344,0.3621,351.8841,-0.3585,-0.0511,0.0331
152,-63.8347,149.0239,0.3621,351.8871,-0.3585,-0.0511,0.0331
151,-63.8025,149.0135,0.3621,351.8901,-0.3585,-0.0511,0.0331
150,-63.7703,149.0031,0.3621,351.8931,-0.3585,-0.0511,0.0331
149,-63.7381,148.9928,0.3621,351.896,-0.3585,-0.0511,0.0331
148,-63.7059,148.9824,0.3621,351.899,-0.3585,-0.051,0.0331
147,-63.6737,148.9721,0.3621,351.9019,-0.3585,-0.051,0.0331
146,-63.6415,148.9617,0.3621,351.9048,-0.3585,-0.051,0.0331
145,-63.6093,148.9514,0.3621,351.9077,-0.3585,-0.051,0.0331
144,-63.5771,148.9411,0.3621,351.9106,-0.3585,-0.051,0.0331
143,-63.5449,148.9309,0.3621,351.9134,-0.3585,-0.0509,0.0331
142,-63.5127,148.9206,0.3621,351.9163,-0.3585,-0.0509,0.0331
141,-63.4804,148.9103,0.3621,351.9191,-0.3586,-0.0509,0.0331
140,-63.4482,148.9001,0.3621,351.9219,-0.3586,-0.0509,0.0331
139,-63.416,148.8899,0.3621,351.9247,-0.3586,-0.0509,0.0331
138,-63.3838,148.8797,0.3621,351.9274,-0.3586,-0.0509,0.0331
137,-63.3516,148.8695,0.3621,351.9302,-0.3586,-0.0508,0.0331
136,-63.3194,148.8593,0.3621,351.9329,-0.3586,-0.0508,0.0331
135,-63.2872,148.8492,0.3621,351.9357,-0.3586,-0.0508,0.0331
134,-63.255,148.839,0.3621,351.9384,-0.3586,-0.0508,0.0331
133,-63.2228,148.8289,0.3621,351.9411,-0.3586,-0.0508,0.0331
132,-63.1906,148.8188,0.3621,351.9438,-0.3586,-0.0508,0.0331
131,-63.1583,148.8087,0.3621,351.9464,-0.3586,-0.0507,0.0331
130,-63.1261,148.7986,0.3621,351.9491,-0.3586,-0.0507,0.0331
129,-63.0939,148.7885,0.3621,351.9517,-0.3586,-0.0507,0.0331
128,-63.0617,148.7785,0.3621,351.9543,-0.3586,-0.0507,0.0331
127,-63.0295,148.7684,0.3621,351.9569,-0.3586,-0.0507,0.0331
126,-62.9973,148.7584,0.3621,351.9595,-0.3586,-0.0507,0.0331
125,-62.9651,148.7484,0.3621,351.9621,-0.3586,-0.0506,0.0331
124,-62.9329,148.7384,0.3621,351.9646,-0.3586,-0.0506,0.0331
123,-62.9006,148.7284,0.3621,351.9672,-0.3586,-0.0506,0.0331
122,-62.8684,148.7184,0.3621,351.9697,-0.3586,-0.0506,0.0331
121,-62.8362,148.7084,0.3621,351.9722,-0.3586,-0.0506,0.0331
120,-62.804,148.6985,0.3621,351.9747,-0.3586,-0.0506,0.0331
119,-62.7718,148.6886,0.3621,351.9772,-0.3586,-0.0505,0.0331
118,-62.7396,148.6787,0.3621,351.9796,-0.3586,-0.0505,0.0331
117,-62.7074,148.6687,0.3621,351.9821,-0.3586,-0.0505,0.0331
116,-62.6751,148.6589,0.3621,351.9845,-0.3586,-0.0505,0.0331
115,-62.6429,148.649,0.3621,351.987,-0.3586,-0.0505,0.0331
114,-62.6107,148.6391,0.3621,351.9894,-0.3586,-0.0505,0.0331
113,-62.5785,148.6293,0.3621,351.9918,-0.3586,-0.0505,0.0331
112,-62.5463,148.6194,0.3621,351.9941,-0.3586,-0.0504,0.0331
111,-62.5141,148.6096,0.3621,351.9965,-0.3586,-0.0504,0.0331
110,-62.4819,148.5998,0.3621,351.9988,-0.3586,-0.0504,0.0331
109,-62.4496,148.59,0.3621,352.0012,-0.3586,-0.0504,0.0331
108,-62.4174,148.5802,0.3621,352.0035,-0.3586,-0.0504,0.0331
107,-62.3852,148.5705,0.3621,352.0058,-0.3586,-0.0504,0.0331
106,-62.353,148.5607,0.3621,352.0081,-0.3586,-0.0504,0.0331
105,-62.3208,148.551,0.3621,352.0104,-0.3586,-0.0503,0.0331
104,-62.2886,148.5412,0.3621,352.0126,-0.3586,-0.0503,0.0331
103,-62.2563,148.5315,0.3621,352.0149,-0.3586,-0.0503,0.0331
102,-62.2241,148.5218,0.3621,352.0171,-0.3586,-0.0503,0.0331
101,-62.1919,148.5121,0.3621,352.0193,-0.3586,-0.0503,0.0331
100,-62.1597,148.5025,0.3621,352.0215,-0.3586,-0.0503,0.0331
99,-62.0505,148.1913,2.0256,306.9624,-1.218,-1.6185,0.1928
98,-61.9409,147.882,2.0256,307.1716,-1.2239,-1.614,0.1928
97,-61.8307,147.5748,2.0256,307.3788,-1.2297,-1.6096,0.1928
96,-61.7199,147.2695,2.0256,307.5841,-1.2355,-1.6052,0.1928
95,-61.6087,146.9661,2.0256,307.7873,-1.2411,-1.6008,0.1928
94,-61.497,146.6646,2.0256,307.9886,-1.2468,-1.5964,0.1928
93,-61.3847,146.365,2.0256,308.1879,-1.2523,-1.5921,0.1928
92,-61.272,146.0673,2.0256,308.3853,-1.2578,-1.5878,0.1928
91,-61.1587,145.7715,2.0256,308.5808,-1.2632,-1.5835,0.1928
90,-61.045,145.4776,2.0256,308.7744,-1.2685,-1.5792,0.1928
89,-60.9308,145.1855,2.0256,308.966,-1.2738,-1.5749,0.1928
88,-60.8162,144.8952,2.0256,309.1558,-1.279,-1.5707,0.1928
87,-60.701,144.6067,2.0256,309.3437,-1.2842,-1.5665,0.1928
86,-60.5855,144.3201,2.0256,309.5298,-1.2892,-1.5623,0.1928
85,-60.4694,144.0352,2.0256,309.714,-1.2943,-1.5582,0.1928
84,-60.3529,143.7521,2.0256,309.8964,-1.2992,-1.554,0.1928
83,-60.236,143.4708,2.0256,310.077,-1.3041,-1.5499,0.1928
82,-60.1468,143.1695,1.9406,300.8243,-0.9944,-1.6665,0.258
81,-60.0573,142.8693,1.9406,300.8944,-0.9964,-1.6653,0.258
80,-59.9677,142.5701,1.9406,300.9633,-0.9984,-1.6641,0.258
79,-59.878,142.2719,1.9406,301.0311,-1.0004,-1.6629,0.258
78,-59.788,141.9747,1.9406,301.0979,-1.0023,-1.6617,0.258
77,-59.6979,141.6786,1.9406,301.1635,-1.0042,-1.6606,0.258
76,-59.6076,141.3834,1.9406,301.228,-1.0061,-1.6595,0.258
75,-59.5171,141.0893,1.9406,301.2914,-1.0079,-1.6583,0.258
74,-59.4265,140.7961,1.9406,301.3538,-1.0097,-1.6572,0.258
73,-59.3528,140.5834,1.4585,304.2432,-0.8207,-1.2057,0.1986
72,-59.2904,140.424,1.1404,307.4948,-0.6942,-0.9048,0.1592
71,-59.2281,140.265,1.1404,307.5095,-0.6944,-0.9046,0.1592
70,-59.1657,140.1064,1.1404,307.5239,-0.6946,-0.9045,0.1592
69,-59.1033,139.948,1.1404,307.5379,-0.6948,-0.9043,0.1592
68,-59.0409,139.79,1.1404,307.5515,-0.6951,-0.9041,0.1592
67,-58.9964,139.6778,0.8109,307.5965,-0.4947,-0.6425,0.1098
66,-58.9597,139.5854,0.6697,307.635,-0.4089,-0.5303,0.0886
65,-58.9229,139.493,0.6697,307.649,-0.4091,-0.5302,0.0886
64,-58.8862,139.4008,0.6697,307.6629,-0.4092,-0.5301,0.0886
63,-58.8494,139.3087,0.6697,307.6767,-0.4093,-0.53,0.0886
62,-58.8127,139.2167,0.6697,307.6904,-0.4094,-0.5299,0.0886
61,-58.7759,139.1248,0.6697,307.7039,-0.4096,-0.5299,0.0886
60,-58.74,139.0377,0.6422,308.4108,-0.399,-0.5033,0.0792
59,-58.7043,138.9511,0.6392,308.5121,-0.398,-0.5002,0.0782
58,-58.6685,138.8647,0.6392,308.5328,-0.3982,-0.5,0.0782
57,-58.6327,138.7784,0.6392,308.5535,-0.3984,-0.4999,0.0782
56,-58.5969,138.6921,0.6392,308.574,-0.3986,-0.4997,0.0782
55,-58.5611,138.606,0.6392,308.5944,-0.3987,-0.4996,0.0782
